IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.117.171,4,4,0.00,12.44,0.00,N/A
172.67.197.17,4,4,0.00,12.45,0.00,N/A
172.66.162.134,4,4,0.00,12.45,0.00,N/A
172.67.135.25,4,4,0.00,12.45,0.00,N/A
104.25.77.25,4,4,0.00,12.45,0.00,N/A
104.25.24.40,4,4,0.00,12.47,0.00,N/A
104.21.19.122,4,4,0.00,12.48,0.00,N/A
104.27.5.46,4,4,0.00,12.49,0.00,N/A
172.65.147.29,4,4,0.00,12.49,0.00,N/A
172.65.179.90,4,4,0.00,12.49,0.00,N/A
172.67.131.219,4,4,0.00,12.50,0.00,N/A
104.24.92.23,4,4,0.00,12.50,0.00,N/A
104.26.12.126,4,4,0.00,12.50,0.00,N/A
172.64.186.234,4,4,0.00,12.51,0.00,N/A
104.24.133.20,4,4,0.00,12.52,0.00,N/A
172.65.18.8,4,4,0.00,12.53,0.00,N/A
104.25.28.0,4,4,0.00,12.53,0.00,N/A
172.67.151.41,4,4,0.00,12.54,0.00,N/A
172.67.186.236,4,4,0.00,12.54,0.00,N/A
104.25.98.216,4,4,0.00,12.56,0.00,N/A
104.24.181.2,4,4,0.00,12.56,0.00,N/A
104.21.72.33,4,4,0.00,12.56,0.00,N/A
172.64.184.153,4,4,0.00,12.57,0.00,N/A
172.65.235.93,4,4,0.00,12.57,0.00,N/A
172.65.220.143,4,4,0.00,12.57,0.00,N/A
104.21.219.20,4,4,0.00,12.57,0.00,N/A
104.24.56.123,4,4,0.00,12.57,0.00,N/A
104.25.184.37,4,4,0.00,12.57,0.00,N/A
104.25.108.83,4,4,0.00,12.58,0.00,N/A
104.25.183.0,4,4,0.00,12.58,0.00,N/A
104.25.103.49,4,4,0.00,12.58,0.00,N/A
172.64.40.242,4,4,0.00,12.59,0.00,N/A
172.65.160.0,4,4,0.00,12.59,0.00,N/A
104.24.45.177,4,4,0.00,12.59,0.00,N/A
104.26.8.15,4,4,0.00,12.59,0.00,N/A
172.65.136.178,4,4,0.00,12.59,0.00,N/A
104.21.87.103,4,4,0.00,12.60,0.00,N/A
172.67.212.158,4,4,0.00,12.61,0.00,N/A
104.21.237.153,4,4,0.00,12.61,0.00,N/A
172.65.200.179,4,4,0.00,12.62,0.00,N/A
104.26.6.128,4,4,0.00,12.63,0.00,N/A
172.66.154.105,4,4,0.00,12.63,0.00,N/A
172.66.150.241,4,4,0.00,12.63,0.00,N/A
104.26.0.15,4,4,0.00,12.63,0.00,N/A
104.25.255.85,4,4,0.00,12.64,0.00,N/A
172.65.20.67,4,4,0.00,12.64,0.00,N/A
104.25.11.57,4,4,0.00,12.65,0.00,N/A
172.65.41.141,4,4,0.00,12.65,0.00,N/A
104.27.7.59,4,4,0.00,12.65,0.00,N/A
104.18.206.127,4,4,0.00,12.65,0.00,N/A
172.65.42.156,4,4,0.00,12.66,0.00,N/A
104.21.106.113,4,4,0.00,12.67,0.00,N/A
104.27.79.189,4,4,0.00,12.67,0.00,N/A
104.25.112.78,4,4,0.00,12.67,0.00,N/A
104.24.240.162,4,4,0.00,12.67,0.00,N/A
172.65.237.238,4,4,0.00,12.68,0.00,N/A
172.65.48.134,4,4,0.00,12.68,0.00,N/A
104.19.196.95,4,4,0.00,12.68,0.00,N/A
104.24.94.122,4,4,0.00,12.68,0.00,N/A
104.21.96.192,4,4,0.00,12.69,0.00,N/A
104.24.80.244,4,4,0.00,12.69,0.00,N/A
172.64.50.8,4,4,0.00,12.69,0.00,N/A
104.24.60.90,4,4,0.00,12.69,0.00,N/A
172.65.244.137,4,4,0.00,12.70,0.00,N/A
172.67.245.203,4,4,0.00,12.71,0.00,N/A
104.19.48.176,4,4,0.00,12.71,0.00,N/A
104.25.242.151,4,4,0.00,12.71,0.00,N/A
104.21.203.42,4,4,0.00,12.71,0.00,N/A
172.64.145.75,4,4,0.00,12.72,0.00,N/A
104.21.16.50,4,4,0.00,12.72,0.00,N/A
104.24.190.55,4,4,0.00,12.73,0.00,N/A
104.19.59.120,4,4,0.00,12.73,0.00,N/A
172.64.146.152,4,4,0.00,12.73,0.00,N/A
104.21.8.207,4,4,0.00,12.74,0.00,N/A
172.65.11.138,4,4,0.00,12.75,0.00,N/A
104.27.117.161,4,4,0.00,12.75,0.00,N/A
172.64.152.216,4,4,0.00,12.75,0.00,N/A
104.25.42.118,4,4,0.00,12.76,0.00,N/A
172.67.173.253,4,4,0.00,12.76,0.00,N/A
104.25.13.59,4,4,0.00,12.76,0.00,N/A
172.65.65.190,4,4,0.00,12.76,0.00,N/A
172.64.148.228,4,4,0.00,12.77,0.00,N/A
104.25.186.162,4,4,0.00,12.77,0.00,N/A
104.19.30.143,4,4,0.00,12.77,0.00,N/A
104.25.187.250,4,4,0.00,12.78,0.00,N/A
104.25.232.155,4,4,0.00,12.78,0.00,N/A
172.67.129.59,4,4,0.00,12.78,0.00,N/A
172.65.208.156,4,4,0.00,12.78,0.00,N/A
172.67.174.156,4,4,0.00,12.78,0.00,N/A
172.64.49.62,4,4,0.00,12.78,0.00,N/A
104.24.205.85,4,4,0.00,12.78,0.00,N/A
172.65.209.184,4,4,0.00,12.79,0.00,N/A
172.67.119.193,4,4,0.00,12.80,0.00,N/A
104.25.120.134,4,4,0.00,12.80,0.00,N/A
104.25.110.26,4,4,0.00,12.80,0.00,N/A
104.25.198.156,4,4,0.00,12.80,0.00,N/A
172.67.167.183,4,4,0.00,12.81,0.00,N/A
104.24.40.124,4,4,0.00,12.81,0.00,N/A
172.67.117.94,4,4,0.00,12.81,0.00,N/A
141.101.122.51,4,4,0.00,12.81,0.00,N/A
172.67.137.165,4,4,0.00,12.82,0.00,N/A
104.27.40.106,4,4,0.00,12.83,0.00,N/A
104.24.18.243,4,4,0.00,12.83,0.00,N/A
104.21.205.43,4,4,0.00,12.84,0.00,N/A
104.27.87.10,4,4,0.00,12.84,0.00,N/A
104.24.63.165,4,4,0.00,12.84,0.00,N/A
172.66.0.82,4,4,0.00,12.85,0.00,N/A
104.27.63.110,4,4,0.00,12.85,0.00,N/A
172.64.34.9,4,4,0.00,12.85,0.00,N/A
104.21.201.181,4,4,0.00,12.85,0.00,N/A
104.25.25.146,4,4,0.00,12.86,0.00,N/A
172.65.133.223,4,4,0.00,12.86,0.00,N/A
172.64.75.14,4,4,0.00,12.86,0.00,N/A
104.24.187.240,4,4,0.00,12.87,0.00,N/A
172.64.37.100,4,4,0.00,12.87,0.00,N/A
172.67.76.224,4,4,0.00,12.87,0.00,N/A
104.25.70.67,4,4,0.00,12.87,0.00,N/A
104.21.76.134,4,4,0.00,12.88,0.00,N/A
172.65.16.240,4,4,0.00,12.88,0.00,N/A
104.27.73.169,4,4,0.00,12.88,0.00,N/A
172.66.175.119,4,4,0.00,12.88,0.00,N/A
172.64.229.28,4,4,0.00,12.89,0.00,N/A
172.67.254.97,4,4,0.00,12.89,0.00,N/A
172.67.202.159,4,4,0.00,12.89,0.00,N/A
104.24.95.20,4,4,0.00,12.90,0.00,N/A
104.24.182.6,4,4,0.00,12.90,0.00,N/A
172.65.13.83,4,4,0.00,12.90,0.00,N/A
104.25.179.83,4,4,0.00,12.91,0.00,N/A
172.67.142.200,4,4,0.00,12.91,0.00,N/A
104.25.113.28,4,4,0.00,12.91,0.00,N/A
172.67.143.142,4,4,0.00,12.92,0.00,N/A
104.25.249.7,4,4,0.00,12.92,0.00,N/A
104.24.59.67,4,4,0.00,12.92,0.00,N/A
104.24.30.102,4,4,0.00,12.92,0.00,N/A
172.65.113.124,4,4,0.00,12.93,0.00,N/A
104.27.121.68,4,4,0.00,12.93,0.00,N/A
104.24.91.17,4,4,0.00,12.93,0.00,N/A
172.67.79.213,4,4,0.00,12.93,0.00,N/A
104.21.57.112,4,4,0.00,12.95,0.00,N/A
104.24.90.0,4,4,0.00,12.95,0.00,N/A
172.64.94.225,4,4,0.00,12.95,0.00,N/A
104.24.71.104,4,4,0.00,12.96,0.00,N/A
104.24.244.31,4,4,0.00,12.96,0.00,N/A
104.21.99.252,4,4,0.00,12.96,0.00,N/A
104.25.227.141,4,4,0.00,12.97,0.00,N/A
104.24.20.75,4,4,0.00,12.97,0.00,N/A
104.21.77.56,4,4,0.00,12.97,0.00,N/A
104.25.4.175,4,4,0.00,12.97,0.00,N/A
172.67.204.23,4,4,0.00,12.98,0.00,N/A
172.64.88.216,4,4,0.00,12.98,0.00,N/A
104.21.105.50,4,4,0.00,12.98,0.00,N/A
104.18.254.144,4,4,0.00,12.98,0.00,N/A
172.64.46.104,4,4,0.00,12.98,0.00,N/A
104.27.126.207,4,4,0.00,12.99,0.00,N/A
104.24.50.242,4,4,0.00,12.99,0.00,N/A
172.64.176.112,4,4,0.00,12.99,0.00,N/A
172.65.93.223,4,4,0.00,12.99,0.00,N/A
172.67.213.119,4,4,0.00,13.00,0.00,N/A
104.21.109.205,4,4,0.00,13.00,0.00,N/A
172.65.96.10,4,4,0.00,13.00,0.00,N/A
104.24.67.243,4,4,0.00,13.01,0.00,N/A
172.65.94.67,4,4,0.00,13.02,0.00,N/A
172.65.157.162,4,4,0.00,13.02,0.00,N/A
172.67.154.217,4,4,0.00,13.02,0.00,N/A
104.25.169.127,4,4,0.00,13.02,0.00,N/A
172.64.47.22,4,4,0.00,13.02,0.00,N/A
104.25.148.114,4,4,0.00,13.02,0.00,N/A
172.65.241.111,4,4,0.00,13.03,0.00,N/A
172.66.1.154,4,4,0.00,13.03,0.00,N/A
104.26.4.120,4,4,0.00,13.03,0.00,N/A
172.65.170.125,4,4,0.00,13.03,0.00,N/A
172.64.68.99,4,4,0.00,13.03,0.00,N/A
104.27.1.103,4,4,0.00,13.03,0.00,N/A
104.25.38.21,4,4,0.00,13.04,0.00,N/A
104.19.57.190,4,4,0.00,13.04,0.00,N/A
172.66.40.50,4,4,0.00,13.04,0.00,N/A
104.27.33.161,4,4,0.00,13.05,0.00,N/A
104.24.68.141,4,4,0.00,13.05,0.00,N/A
172.65.191.170,4,4,0.00,13.05,0.00,N/A
172.65.72.197,4,4,0.00,13.05,0.00,N/A
104.25.31.29,4,4,0.00,13.05,0.00,N/A
172.65.54.224,4,4,0.00,13.06,0.00,N/A
104.25.20.233,4,4,0.00,13.06,0.00,N/A
104.19.4.63,4,4,0.00,13.07,0.00,N/A
104.21.5.2,4,4,0.00,13.08,0.00,N/A
172.65.104.6,4,4,0.00,13.09,0.00,N/A
172.66.173.97,4,4,0.00,13.09,0.00,N/A
172.67.139.203,4,4,0.00,13.09,0.00,N/A
104.27.4.216,4,4,0.00,13.10,0.00,N/A
172.65.23.59,4,4,0.00,13.10,0.00,N/A
104.21.206.128,4,4,0.00,13.10,0.00,N/A
172.65.39.217,4,4,0.00,13.11,0.00,N/A
172.65.199.212,4,4,0.00,13.11,0.00,N/A
104.26.15.95,4,4,0.00,13.11,0.00,N/A
172.64.38.122,4,4,0.00,13.11,0.00,N/A
172.67.141.96,4,4,0.00,13.11,0.00,N/A
104.26.11.0,4,4,0.00,13.11,0.00,N/A
104.25.193.210,4,4,0.00,13.12,0.00,N/A
104.27.89.235,4,4,0.00,13.12,0.00,N/A
172.65.76.171,4,4,0.00,13.12,0.00,N/A
104.25.175.20,4,4,0.00,13.13,0.00,N/A
104.25.90.146,4,4,0.00,13.13,0.00,N/A
104.25.211.240,4,4,0.00,13.13,0.00,N/A
104.25.23.65,4,4,0.00,13.13,0.00,N/A
172.65.64.142,4,4,0.00,13.13,0.00,N/A
104.25.7.216,4,4,0.00,13.13,0.00,N/A
172.64.187.156,4,4,0.00,13.14,0.00,N/A
198.41.209.165,4,4,0.00,13.14,0.00,N/A
172.65.115.39,4,4,0.00,13.14,0.00,N/A
104.25.248.75,4,4,0.00,13.14,0.00,N/A
172.65.53.131,4,4,0.00,13.15,0.00,N/A
172.67.208.64,4,4,0.00,13.15,0.00,N/A
104.26.9.56,4,4,0.00,13.15,0.00,N/A
172.67.226.96,4,4,0.00,13.16,0.00,N/A
172.67.242.81,4,4,0.00,13.16,0.00,N/A
172.67.206.203,4,4,0.00,13.16,0.00,N/A
172.65.70.73,4,4,0.00,13.16,0.00,N/A
104.21.122.204,4,4,0.00,13.17,0.00,N/A
172.64.92.107,4,4,0.00,13.17,0.00,N/A
104.27.65.240,4,4,0.00,13.17,0.00,N/A
104.25.177.184,4,4,0.00,13.18,0.00,N/A
172.65.176.194,4,4,0.00,13.18,0.00,N/A
104.18.229.2,4,4,0.00,13.18,0.00,N/A
104.25.208.185,4,4,0.00,13.19,0.00,N/A
104.24.76.33,4,4,0.00,13.20,0.00,N/A
141.101.120.157,4,4,0.00,13.20,0.00,N/A
104.25.189.135,4,4,0.00,13.21,0.00,N/A
104.25.115.99,4,4,0.00,13.21,0.00,N/A
172.65.31.195,4,4,0.00,13.21,0.00,N/A
172.65.212.187,4,4,0.00,13.21,0.00,N/A
172.65.138.150,4,4,0.00,13.21,0.00,N/A
104.25.190.18,4,4,0.00,13.21,0.00,N/A
172.67.248.205,4,4,0.00,13.22,0.00,N/A
104.25.33.133,4,4,0.00,13.22,0.00,N/A
104.25.181.138,4,4,0.00,13.22,0.00,N/A
104.24.73.91,4,4,0.00,13.22,0.00,N/A
104.21.93.228,4,4,0.00,13.23,0.00,N/A
172.64.86.34,4,4,0.00,13.23,0.00,N/A
104.21.125.103,4,4,0.00,13.23,0.00,N/A
104.21.229.124,4,4,0.00,13.24,0.00,N/A
172.64.91.73,4,4,0.00,13.24,0.00,N/A
172.65.131.148,4,4,0.00,13.24,0.00,N/A
172.67.157.136,4,4,0.00,13.24,0.00,N/A
104.17.163.148,4,4,0.00,13.24,0.00,N/A
172.65.114.23,4,4,0.00,13.25,0.00,N/A
172.64.79.156,4,4,0.00,13.25,0.00,N/A
172.65.43.126,4,4,0.00,13.25,0.00,N/A
104.26.1.75,4,4,0.00,13.26,0.00,N/A
172.67.69.20,4,4,0.00,13.26,0.00,N/A
104.27.118.219,4,4,0.00,13.26,0.00,N/A
172.65.203.66,4,4,0.00,13.27,0.00,N/A
104.19.52.177,4,4,0.00,13.27,0.00,N/A
104.24.47.51,4,4,0.00,13.27,0.00,N/A
172.65.21.182,4,4,0.00,13.27,0.00,N/A
172.65.143.145,4,4,0.00,13.27,0.00,N/A
104.21.111.19,4,4,0.00,13.27,0.00,N/A
172.64.232.221,4,4,0.00,13.27,0.00,N/A
104.17.31.194,4,4,0.00,13.27,0.00,N/A
104.24.196.207,4,4,0.00,13.28,0.00,N/A
172.64.90.230,4,4,0.00,13.28,0.00,N/A
172.64.84.19,4,4,0.00,13.28,0.00,N/A
104.26.5.161,4,4,0.00,13.28,0.00,N/A
104.24.186.153,4,4,0.00,13.28,0.00,N/A
172.67.109.215,4,4,0.00,13.29,0.00,N/A
172.65.49.131,4,4,0.00,13.29,0.00,N/A
172.65.204.13,4,4,0.00,13.29,0.00,N/A
104.21.64.135,4,4,0.00,13.29,0.00,N/A
104.21.63.117,4,4,0.00,13.29,0.00,N/A
104.21.54.44,4,4,0.00,13.29,0.00,N/A
198.41.202.123,4,4,0.00,13.29,0.00,N/A
104.25.35.151,4,4,0.00,13.29,0.00,N/A
172.66.148.243,4,4,0.00,13.30,0.00,N/A
104.17.148.35,4,4,0.00,13.31,0.00,N/A
172.66.168.109,4,4,0.00,13.31,0.00,N/A
172.67.191.110,4,4,0.00,13.31,0.00,N/A
172.67.100.171,4,4,0.00,13.31,0.00,N/A
104.24.88.146,4,4,0.00,13.31,0.00,N/A
104.18.137.154,4,4,0.00,13.31,0.00,N/A
104.18.255.175,4,4,0.00,13.31,0.00,N/A
172.65.202.230,4,4,0.00,13.31,0.00,N/A
104.25.16.125,4,4,0.00,13.31,0.00,N/A
104.25.2.9,4,4,0.00,13.31,0.00,N/A
104.26.2.149,4,4,0.00,13.32,0.00,N/A
104.21.75.87,4,4,0.00,13.32,0.00,N/A
190.93.244.201,4,4,0.00,13.33,0.00,N/A
104.21.222.91,4,4,0.00,13.33,0.00,N/A
104.25.19.248,4,4,0.00,13.33,0.00,N/A
172.64.155.227,4,4,0.00,13.33,0.00,N/A
104.24.27.143,4,4,0.00,13.34,0.00,N/A
104.25.99.163,4,4,0.00,13.34,0.00,N/A
172.65.82.91,4,4,0.00,13.34,0.00,N/A
172.67.147.160,4,4,0.00,13.35,0.00,N/A
172.65.236.69,4,4,0.00,13.35,0.00,N/A
104.27.109.206,4,4,0.00,13.36,0.00,N/A
104.21.236.163,4,4,0.00,13.36,0.00,N/A
104.19.23.10,4,4,0.00,13.36,0.00,N/A
104.27.74.13,4,4,0.00,13.37,0.00,N/A
104.25.93.206,4,4,0.00,13.37,0.00,N/A
104.17.199.148,4,4,0.00,13.37,0.00,N/A
104.17.90.149,4,4,0.00,13.37,0.00,N/A
104.24.65.7,4,4,0.00,13.38,0.00,N/A
104.21.0.97,4,4,0.00,13.38,0.00,N/A
104.27.95.171,4,4,0.00,13.38,0.00,N/A
104.21.92.239,4,4,0.00,13.38,0.00,N/A
104.18.160.20,4,4,0.00,13.38,0.00,N/A
104.25.81.25,4,4,0.00,13.39,0.00,N/A
104.24.54.72,4,4,0.00,13.40,0.00,N/A
104.25.78.197,4,4,0.00,13.40,0.00,N/A
104.25.5.186,4,4,0.00,13.40,0.00,N/A
104.25.75.40,4,4,0.00,13.40,0.00,N/A
104.21.83.203,4,4,0.00,13.40,0.00,N/A
104.27.201.121,4,4,0.00,13.40,0.00,N/A
104.21.73.150,4,4,0.00,13.41,0.00,N/A
104.21.52.157,4,4,0.00,13.41,0.00,N/A
104.24.46.231,4,4,0.00,13.41,0.00,N/A
104.27.51.13,4,4,0.00,13.41,0.00,N/A
104.17.53.238,4,4,0.00,13.42,0.00,N/A
104.25.10.203,4,4,0.00,13.42,0.00,N/A
198.41.222.111,4,4,0.00,13.42,0.00,N/A
172.65.51.69,4,4,0.00,13.42,0.00,N/A
172.64.35.60,4,4,0.00,13.42,0.00,N/A
104.21.221.68,4,4,0.00,13.42,0.00,N/A
104.24.207.173,4,4,0.00,13.42,0.00,N/A
104.25.94.221,4,4,0.00,13.42,0.00,N/A
172.65.177.112,4,4,0.00,13.42,0.00,N/A
172.65.101.198,4,4,0.00,13.43,0.00,N/A
104.24.200.228,4,4,0.00,13.43,0.00,N/A
104.25.166.157,4,4,0.00,13.43,0.00,N/A
104.24.155.233,4,4,0.00,13.43,0.00,N/A
104.24.64.0,4,4,0.00,13.43,0.00,N/A
172.65.116.71,4,4,0.00,13.43,0.00,N/A
104.27.14.230,4,4,0.00,13.43,0.00,N/A
104.21.68.223,4,4,0.00,13.43,0.00,N/A
104.21.223.169,4,4,0.00,13.43,0.00,N/A
172.65.58.20,4,4,0.00,13.44,0.00,N/A
172.64.185.239,4,4,0.00,13.44,0.00,N/A
104.24.167.168,4,4,0.00,13.44,0.00,N/A
172.67.68.236,4,4,0.00,13.44,0.00,N/A
104.21.212.251,4,4,0.00,13.45,0.00,N/A
104.21.35.177,4,4,0.00,13.45,0.00,N/A
104.21.238.187,4,4,0.00,13.45,0.00,N/A
104.25.172.200,4,4,0.00,13.45,0.00,N/A
172.66.42.25,4,4,0.00,13.46,0.00,N/A
104.19.64.232,4,4,0.00,13.46,0.00,N/A
172.65.77.209,4,4,0.00,13.46,0.00,N/A
104.24.22.207,4,4,0.00,13.47,0.00,N/A
104.25.15.205,4,4,0.00,13.47,0.00,N/A
104.27.116.182,4,4,0.00,13.48,0.00,N/A
172.67.94.156,4,4,0.00,13.48,0.00,N/A
104.24.211.203,4,4,0.00,13.48,0.00,N/A
104.20.60.174,4,4,0.00,13.48,0.00,N/A
172.65.231.120,4,4,0.00,13.49,0.00,N/A
172.67.189.56,4,4,0.00,13.49,0.00,N/A
104.27.110.92,4,4,0.00,13.49,0.00,N/A
104.31.16.43,4,4,0.00,13.50,0.00,N/A
172.65.234.227,4,4,0.00,13.50,0.00,N/A
104.25.197.210,4,4,0.00,13.50,0.00,N/A
172.67.195.185,4,4,0.00,13.50,0.00,N/A
104.21.43.65,4,4,0.00,13.51,0.00,N/A
104.19.3.79,4,4,0.00,13.51,0.00,N/A
104.17.32.179,4,4,0.00,13.51,0.00,N/A
104.27.97.181,4,4,0.00,13.51,0.00,N/A
104.21.228.94,4,4,0.00,13.51,0.00,N/A
104.24.41.234,4,4,0.00,13.52,0.00,N/A
104.25.101.59,4,4,0.00,13.52,0.00,N/A
172.65.109.81,4,4,0.00,13.53,0.00,N/A
172.65.59.114,4,4,0.00,13.53,0.00,N/A
104.21.107.166,4,4,0.00,13.53,0.00,N/A
172.65.193.251,4,4,0.00,13.54,0.00,N/A
172.65.218.182,4,4,0.00,13.54,0.00,N/A
104.27.46.244,4,4,0.00,13.55,0.00,N/A
172.65.88.247,4,4,0.00,13.55,0.00,N/A
172.65.232.75,4,4,0.00,13.55,0.00,N/A
172.65.6.143,4,4,0.00,13.55,0.00,N/A
172.67.148.87,4,4,0.00,13.55,0.00,N/A
172.67.146.0,4,4,0.00,13.55,0.00,N/A
104.19.14.221,4,4,0.00,13.55,0.00,N/A
172.65.9.78,4,4,0.00,13.55,0.00,N/A
172.65.103.215,4,4,0.00,13.56,0.00,N/A
172.65.62.175,4,4,0.00,13.56,0.00,N/A
104.27.32.2,4,4,0.00,13.56,0.00,N/A
104.19.11.247,4,4,0.00,13.56,0.00,N/A
104.19.16.110,4,4,0.00,13.56,0.00,N/A
104.24.14.199,4,4,0.00,13.57,0.00,N/A
104.24.29.19,4,4,0.00,13.57,0.00,N/A
104.19.47.120,4,4,0.00,13.57,0.00,N/A
172.65.29.221,4,4,0.00,13.57,0.00,N/A
